Wall time,Step,Value
1752430886.5157702,0,0.1908908188343048
1752430994.1100523,1,0.4634963274002075
1752431100.8473287,2,0.6463496088981628
1752431206.6444027,3,0.7649028897285461
1752431312.4240117,4,0.8432685732841492
1752431418.478103,5,0.8854655027389526
1752431526.753834,6,0.9182853102684021
1752431640.6384666,7,0.9457468390464783
1752431752.5613225,8,0.9584728479385376
1752431862.0996146,9,0.9698593616485596
1752431969.559293,10,0.9718686938285828
1752432075.6535196,11,0.9738780856132507
1752432181.646483,12,0.9812458157539368
1752432287.1502507,13,0.9839249849319458
1752432395.358743,14,0.9845947623252869
