Wall time,Step,Value
1752430886.5157485,0,2.8517439365386963
1752430994.1100326,1,1.929365873336792
1752431100.8473094,2,1.366075873374939
1752431206.6443837,3,1.019289493560791
1752431312.4239938,4,0.7566500306129456
1752431418.4780848,5,0.583768367767334
1752431526.7538111,6,0.43529340624809265
1752431640.6384454,7,0.33565962314605713
1752431752.5613017,8,0.2622203528881073
1752431862.0995955,9,0.2072763890028
1752431969.5592604,10,0.1612638533115387
1752432075.6535032,11,0.14045868813991547
1752432181.6464658,12,0.1107514426112175
1752432287.1502333,13,0.10562492161989212
1752432395.3587236,14,0.08570443093776703
